"Date","Amount","Description","Category","User"
"2017-01-18",118.5,"Description50","Category1","User1"
"2017-01-17",728.43,"Description29","Category1","User1"
"2017-01-03",1425,"Description51","Category1","User1"
"2016-12-29",641.89,"Description7","Category3","User1"
"2016-12-20",1528.89,"Description8","Category3","User1"
"2016-12-15",450.99,"Description29","Category1","User1"
"2016-11-30",641.89,"Description7","Category3","User1"
"2016-11-29",1528.89,"Description8","Category3","User1"
"2016-11-28",60,"Description15","Category3","User1"
"2016-11-16",396.35,"Description29","Category1","User1"
"2016-11-15",90,"Description15","Category3","User1"
"2016-11-14",10.95,"Description388","Category2","User1"
"2016-11-10",15,"Description476","Category6","User1"
"2016-11-10",863.59,"Description474","Category3","User1"
"2016-11-04",1425,"Description54","Category1","User1"
"2016-10-31",641.89,"Description7","Category3","User1"
"2016-10-25",1528.89,"Description8","Category3","User1"
"2016-10-20",60,"Description15","Category3","User1"
"2016-10-17",334.52,"Description29","Category1","User1"
"2016-10-13",60,"Description15","Category3","User1"
"2016-10-06",0.15,"Description59","Category1","User1"
"2016-10-06",0.21,"Description59","Category1","User1"
"2016-10-06",0.15,"Description16","Category3","User1"
"2016-10-06",0.21,"Description16","Category3","User1"
"2016-09-30",586.66,"Description7","Category3","User1"
"2016-09-27",1528.89,"Description8","Category3","User1"
"2016-09-19",7.41,"Description110","Category4","User1"
"2016-09-19",6.88,"Description245","Category4","User1"
"2016-09-16",50.42,"Description29","Category1","User1"
"2016-09-14",2,"Description243","Category5","User1"
"2016-09-14",1.59,"Description223","Category5","User1"
"2016-09-14",52.85,"Description231","Category5","User1"
"2016-09-12",3.19,"Description218","Category5","User1"
"2016-09-12",2,"Description238","Category5","User1"
"2016-09-12",106.3,"Description234","Category5","User1"
"2016-09-08",12.26,"Description85","Category2","User1"
"2016-09-06",1021.66,"Description29","Category1","User1"
